Tau,Plain Collisions,Slotted Collisions,Plain Throughput,Slotted Throughput
0.002201,986.62,954.34,0.02944938,0.10049766
0.002211,987.22,895.01,0.02825658,0.23213289
0.002221,987.24,956.36,0.02833996,0.09692444
0.002231,987.39,900.77,0.02813291,0.22138213
0.002241,987.55,934.25,0.02790045,0.14734575
0.002251,988.51,957.07,0.02586399,0.09663543
0.002261,988.53,889.63,0.02593367,0.24954657
0.002271,989.12,950.95,0.02470848,0.11139255
0.002281,988.94,904.65,0.02522786,0.21749335
0.002291,988.67,939.95,0.02595703,0.13757455
0.002301,989.09,947.6,0.02510391,0.1205724
0.002311,989.2,885.58,0.0249588,0.26442462
0.002321,989.3,960.99,0.0248347,0.09054221
0.002331,989.91,917.28,0.02351979,0.19282032
0.002341,989.6,933.78,0.0243464,0.15502102
0.002351,990.11,923.98,0.02325139,0.17872302
0.002361,990.21,962.99,0.02311419,0.08738061
0.002371,990.1,964.13,0.0234729,0.08504777
0.002381,990.57,902.25,0.02245283,0.23274275
0.002391,990.77,964.16,0.02206893,0.08569344
0.002401,990.97,922.56,0.02168103,0.18593344
0.002411,991.06,955.59,0.02155434,0.10707251
0.002421,991.32,965.56,0.02101428,0.08337924
0.002431,991.9,906.57,0.0196911,0.22712833
0.002441,991.76,962.04,0.02011384,0.09266036
0.002451,991.47,908.87,0.02090703,0.22335963
0.002461,991.57,954.69,0.02074623,0.11150791
0.002471,991.83,967.87,0.02018807,0.07939323
0.002481,992.17,899.81,0.01942623,0.24857139
0.002491,992.17,958.88,0.01950453,0.10242992
0.002501,992.14,932.69,0.01965786,0.16834231
0.002511,992.6,946.68,0.0185814,0.13388652
0.002521,992.71,949.26,0.01837809,0.12791554
0.002531,992.85,969.82,0.01809665,0.07638558
0.002541,992.98,969.66,0.01783782,0.07709394
0.002551,993.21,922.5,0.01732129,0.1977025
0.002561,992.86,941.2,0.01828554,0.1505868
0.002571,993.17,942.3,0.01755993,0.1483467
0.002581,993.47,971.6,0.01685393,0.0733004
0.002591,993.4,972.37,0.0171006,0.07158933
0.002601,993.13,914.15,0.01786887,0.22329585
0.002611,993.79,972.88,0.01621431,0.07081032
0.002621,994.23,928.61,0.01512317,0.18711319
0.002631,994.05,957.39,0.01565445,0.11210691
0.002641,993.74,974.47,0.01653266,0.06742473
0.002651,994.61,914.7,0.01428889,0.2261303
0.002661,994.33,969.27,0.01508787,0.08177253
0.002671,994.44,913.93,0.01485076,0.22989297
0.002681,994.25,959.03,0.01541575,0.10984057
0.002691,994.33,971.68,0.01525797,0.07620912
0.002701,994.37,908.34,0.01520663,0.24757366
0.002711,994.5,976.66,0.0149105,0.06327474
0.002721,994.43,937.71,0.01515597,0.16949109
0.002731,994.86,952.46,0.01403734,0.12983174
0.002741,995.08,948.57,0.01348572,0.14096963
0.002751,995,977.24,0.013755,0.06261276
0.002761,994.92,976.91,0.01402588,0.06375149
