Tau,Plain Collisions,Slotted Collisions
9.499999999999983e-05,172.97,113.23
9.599999999999983e-05,174.16,120.68
9.699999999999982e-05,175.62,128.69
9.799999999999982e-05,176.84,125.43
9.899999999999982e-05,178.92,116.2
9.999999999999982e-05,180.95,124.76
0.00010099999999999981,181.97,134.04
0.00010199999999999981,185.2,132.83
0.0001029999999999998,183.88,124.04
0.0001039999999999998,186.41,131.54
0.0001049999999999998,187.6,140.11
0.0001059999999999998,189.45,139.88
0.0001069999999999998,190.98,129.86
0.00010799999999999979,194.09,140.67
0.00010899999999999979,195.47,145.78
0.00010999999999999979,198.57,149.16
0.00011099999999999978,200.77,127.13
0.00011199999999999978,199.93,154.6
0.00011299999999999978,200.82,142.99
0.00011399999999999978,202.76,130.48
0.00011499999999999977,207.48,134.92
0.00011599999999999977,205.99,156.7
0.00011699999999999977,208.26,148.49
0.00011799999999999976,211.51,135.97
0.00011899999999999976,211.87,139.26
0.00011999999999999976,213.7,161.41
0.00012099999999999976,215.03,154.83
0.00012199999999999975,218.56,141.49
0.00012299999999999976,219.79,149.25
0.00012399999999999976,219.02,167.23
0.00012499999999999976,221.32,156.46
0.00012599999999999976,225.24,143.75
0.00012699999999999975,224.58,153.7
0.00012799999999999975,227.35,166.57
0.00012899999999999975,228.73,163.51
0.00012999999999999974,227.85,150.46
0.00013099999999999974,229.87,164.58
0.00013199999999999974,232.14,170.4
0.00013299999999999974,234.22,169.01
0.00013399999999999973,234.9,157.18
0.00013499999999999973,236.4,172.39
0.00013599999999999973,238.81,177.59
0.00013699999999999973,239.81,180.33
0.00013799999999999972,243.24,168.61
0.00013899999999999972,241.31,184.61
0.00013999999999999972,243.73,173.15
0.00014099999999999971,244.71,158.71
0.0001419999999999997,247.66,161.57
0.0001429999999999997,246.38,190.7
0.0001439999999999997,250.63,178.81
0.0001449999999999997,250.32,163.99
0.0001459999999999997,253.93,167.94
0.0001469999999999997,255.18,191.46
0.0001479999999999997,255.72,183.53
0.0001489999999999997,259.87,168.16
0.0001499999999999997,259.13,177.09
0.00015099999999999969,258.45,198.54
0.00015199999999999968,260.82,190.0
0.00015299999999999968,262.66,172.14
0.00015399999999999968,263.2,180.97
0.00015499999999999967,268.54,198.54
0.00015599999999999967,268.47,192.55
0.00015699999999999967,267.92,178.53
0.00015799999999999967,271.05,191.3
0.00015899999999999966,273.0,205.32
0.00015999999999999966,274.31,199.42
0.00016099999999999966,275.15,183.34
0.00016199999999999966,275.3,200.46
0.00016299999999999965,276.99,209.84
0.00016399999999999965,278.82,208.49
0.00016499999999999965,280.21,196.78
0.00016599999999999964,284.54,216.45
0.00016699999999999964,284.6,201.82
0.00016799999999999964,286.47,184.78
0.00016899999999999964,287.97,189.49
0.00016999999999999963,286.48,222.91
0.00017099999999999963,290.56,207.5
0.00017199999999999963,289.5,191.93
0.00017299999999999962,291.44,196.88
0.00017399999999999962,293.2,222.87
0.00017499999999999962,294.35,209.82
0.00017599999999999962,297.29,195.18
0.0001769999999999996,297.67,202.97
0.0001779999999999996,300.03,228.18
0.0001789999999999996,301.28,221.9
0.0001799999999999996,303.08,201.5
0.0001809999999999996,304.7,208.42
0.0001819999999999996,304.69,227.26
0.0001829999999999996,305.74,221.03
0.0001839999999999996,307.51,204.03
0.0001849999999999996,307.39,218.7
0.0001859999999999996,310.35,234.39
0.00018699999999999959,311.78,226.15
0.00018799999999999958,311.52,211.01
0.00018899999999999958,314.36,229.08
0.00018999999999999958,316.72,237.82
0.00019099999999999957,318.81,236.55
0.00019199999999999957,318.4,219.22
0.00019299999999999957,319.36,241.89
0.00019399999999999957,321.93,228.89
0.00019499999999999956,325.28,210.94
0.00019599999999999956,323.19,213.04
0.00019699999999999956,326.2,250.9
0.00019799999999999955,325.92,233.95
0.00019899999999999955,329.88,215.52
0.00019999999999999955,328.48,219.16
0.00020099999999999955,329.59,252.33
0.00020199999999999954,333.76,239.04
0.00020299999999999954,333.57,219.52
0.00020399999999999954,334.68,227.54
0.00020499999999999953,336.74,257.72
0.00020599999999999953,338.16,246.84
0.00020699999999999953,339.03,226.5
0.00020799999999999953,340.05,232.57
0.00020899999999999952,342.05,255.38
0.00020999999999999952,342.3,249.21
0.00021099999999999952,344.27,228.91
0.00021199999999999952,343.79,242.09
0.0002129999999999995,345.1,261.2
0.0002139999999999995,349.17,257.92
0.0002149999999999995,347.61,233.92
0.0002159999999999995,349.9,253.35
0.0002169999999999995,351.41,267.22
0.0002179999999999995,352.36,267.25
0.0002189999999999995,351.94,244.92
0.0002199999999999995,355.56,266.99
0.0002209999999999995,355.62,275.07
0.0002219999999999995,358.41,236.39
0.00022299999999999948,359.78,237.95
0.00022399999999999948,361.74,283.62
0.00022499999999999948,362.36,260.37
0.00022599999999999948,360.61,239.83
0.00022699999999999947,360.4,245.42
0.00022799999999999947,365.64,284.48
0.00022899999999999947,367.93,264.41
0.00022999999999999946,367.72,244.77
